연번,분야,행사유형,분야 및 행사유형,지역,제목,출처,행사시작일,행사종료일,등록일
1602,창업,교육,창업 > 교육,울산광역시,[울산] 조선업희망센터 창업존 실전창업과정 교육 안내,창조경제혁신센터,2020-08-27,2020-09-22,2020-08-20
1603,인력,교육,인력 > 교육,서울특별시,2020년 여행업 종사자 직무역량강화 교육 안내,제주특별자치도관광협회,2020-08-19,2020-11-25,2020-08-20
1604,수출,교육,수출 > 교육,경기도,[경기] 2020년 수출역량 강화 교육 안내,경기중소기업종합정보시스템,2020-09-08,2020-09-18,2020-08-20
1605,수출,세미나/포럼,수출 > 세미나/포럼,경상남도,소부장 기업의 코로나19 위기대응과 리질리언스 가이드 웨비나 개최 안내,중소벤처기업진흥공단,2020-09-04,2020-09-04,2020-08-20
1606,인력,교육,인력 > 교육,전라남도,핀테크 서비스 개발 실습 초급과정 교육 안내,한국인터넷진흥원,2020-09-21,2020-09-25,2020-08-20
1607,기술,사업설명회,기술 > 사업설명회,서울특별시,2020년 하반기 신재생에너지기술개발사업 신규지원과제 온라인 사업설명회 개최 안내,한국에너지기술평가원,2020-08-26,2020-08-26,2020-08-20
1608,수출,교육,수출 > 교육,서울특별시,K-방역물품 관련 중국인증제도 및 표준현황 교육 안내,전경련 국제경영원,2020-08-27,2020-08-27,2020-08-20
1609,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,포스트 코로나 중동 지역 진출방안 온라인 세미나,해외건설협회,2020-08-25,2020-08-25,2020-08-20
1610,인력,교육,인력 > 교육,서울특별시,2020년 크포 스타터 스쿨 9월 교육(온라인) 안내,서울산업진흥원,2020-09-16,2020-09-16,2020-08-20
1611,인력,교육,인력 > 교육,경상북도,[경북] 2020년 보건ㆍ안전 섬유소재 산업 생태계 지원 교육 안내,한국섬유개발연구원,2020-09-11,2020-09-11,2020-08-20
1612,인력,교육,인력 > 교육,경기도,[경기] 2020년 물산업 수출역량강화 교육 안내,경기도물산업지원센터,2020-09-08,2020-11-06,2020-08-19
1613,수출,세미나/포럼,수출 > 세미나/포럼,경기도,[경기] 해외(인도) 기업 초청 1:1 Meet-up 모집 안내,경기도경제과학진흥원,2020-09-16,2020-09-16,2020-08-19
1614,금융,사업설명회,금융 > 사업설명회,경기도,[경기] 2020년 8월 찾아가는 현장보증 상담회 개최 안내,경기신용보증재단,2020-08-18,2020-08-25,2020-08-19
1615,기술,사업설명회,기술 > 사업설명회,전라남도,정보통신망법 시행령 개정안 온라인 설명회 안내,한국인터넷진흥원,2020-08-21,2020-08-21,2020-08-19
1616,인력,교육,인력 > 교육,충청북도,[충북] 충북콘텐츠코리아랩 플레이콘 아카데미 3기 추가모집,충북과학기술혁신원,2020-08-31,2020-09-11,2020-08-19
1617,기술,세미나/포럼,기술 > 세미나/포럼,경상북도,포항 공공기술 매칭포럼 개최 안내,포항강소연구개발특구,2020-08-25,2020-08-25,2020-08-19
1618,수출,교육,수출 > 교육,인천광역시,[인천] 기계산업 특화 원산지판정 서류작성실습 FTA 교육 안내,인천상공회의소,2020-09-02,2020-09-02,2020-08-19
1619,인력,교육,인력 > 교육,경기도,[경기] 화성시 이익증대를 위한 생산성향상 및 원가절감 교육 안내,대한상공회의소,2020-09-04,2020-09-04,2020-08-19
1620,경영,교육,경영 > 교육,서울특별시,[서울] 사회적협동조합을 위한 지정기부금단체 지정 준비교육 안내,신나는조합,2020-09-10,2020-09-10,2020-08-19
1621,인력,교육,인력 > 교육,경기도,제17회 이노비즈 역량강화(빅데이터시대의 회계ㆍ세무ㆍ재무 위험관리 및 절세전략) 교육 안내,이노비즈협회,2020-09-17,2020-09-17,2020-08-19
1622,인력,교육,인력 > 교육,인천광역시,[인천] 기계산업 특화 원산지판정 서류작성실습 FTA 교육 안내,인천상공회의소,2020-09-02,2020-09-02,2020-08-19
1623,기술,세미나/포럼,기술 > 세미나/포럼,전라북도,2020년 수송기기분야 기술융합을 위한 디지털기반 산업혁신성장 전략 세미나 개최 안내(스마트특성화 기반구축사업),캠틱종합기술원,2020-09-15,2020-09-15,2020-08-19
1624,경영,세미나/포럼,경영 > 세미나/포럼,광주광역시,[광주ㆍ전남] 제9회 광주전남무역포럼 개최,한국무역협회 광주전남본부,2020-09-17,2020-09-17,2020-08-19
1625,인력,교육,인력 > 교육,서울특별시,2020년 여성발명창의교실 교육 안내,한국여성발명협회,2020-09-09,2020-09-10,2020-08-19
1626,인력,교육,인력 > 교육,서울특별시,2020년 과학기술인협동조합 설립지원교육 안내,과학기술인협동조합지원센터,2020-08-27,2020-08-27,2020-08-18
1627,인력,교육,인력 > 교육,서울특별시,[수도권] 2020년 신중년 공정여행 실무자 양성과정 2차 교육 안내,한국관광공사,2020-09-14,2020-09-21,2020-08-18
1628,인력,교육,인력 > 교육,경기도,경기섬유산업연합회 우븐소재의 이해 교육 안내,경기섬유산업연합회,2020-09-18,2020-09-18,2020-08-18
1629,인력,교육,인력 > 교육,경기도,경기섬유산업연합회 니트소재의 이해 교육 안내,경기섬유산업연합회,2020-09-11,2020-09-11,2020-08-18
1630,인력,교육,인력 > 교육,경상북도,한국교통안전공단 중소기업 임직원 교육지원 안내,한국교통안전공단,2020-08-15,2020-12-15,2020-08-18
1631,창업,교육,창업 > 교육,대구광역시,[대구] 대구한의대학교 창업역량 강화 ONE-DAY 캠프 안내,대구한의대학교 산학협력단,2020-08-20,2020-08-20,2020-08-18
1632,인력,교육,인력 > 교육,서울특별시,2020년 제3차 중소기업 사이버연수원(멀티캠퍼스) 교육지원 프로그램 모집 공고,한국가스기술공사,2020-10-01,2020-11-30,2020-08-18
1633,인력,교육,인력 > 교육,세종특별자치시,2020년 경제분석 학술심포지엄 온라인 개최 안내,공정거래위원회,2020-08-21,2020-08-21,2020-08-18
1634,경영,교육,경영 > 교육,강원도,[강원] 국고보조금 관리시스템(e-나라도움) 집행과정 2차 교육 모집,강원도사회적경제지원센터,2020-08-27,2020-08-27,2020-08-18
1635,경영,교육,경영 > 교육,경상남도,[경남] 사회적경제기업 입찰 기초 교육 및 제품사진 촬영법 교육 안내,경남사회적경제통합지원센터,2020-08-25,2020-08-27,2020-08-18
1636,인력,교육,인력 > 교육,경상남도,[경남] 2020년 4차 직장맘 힐링 노무교육 안내,김해시여성센터,2020-09-09,2020-09-09,2020-08-18
1637,인력,교육,인력 > 교육,충청남도,[충남] 2020년 게임아카데미 교육생 모집 안내,충남정보문화산업진흥원,2020-09-01,2020-11-30,2020-08-18
1638,경영,세미나/포럼,경영 > 세미나/포럼,경상남도,[경남] 공공기관-사회적경제기업 구매상담회 실시 안내,모두의경제 사회적협동조합,2020-09-03,2020-09-03,2020-08-14
1639,창업,세미나/포럼,창업 > 세미나/포럼,경상북도,[경북] 2020년 경북 농식품산업 상담회 실시(추가모집) 안내,경북농촌융복합산업지원센터,2020-09-12,2020-09-13,2020-08-14
1640,경영,교육,경영 > 교육,경상남도,[경남] 사회적경제기업 매출증대를 위한 SNS마케팅 교육 실시,모두의경제사회적협동조합,2020-09-02,2020-09-16,2020-08-14
1641,경영,사업설명회,경영 > 사업설명회,서울특별시,2020년 산업통상자원부ㆍ포스코 기술나눔 설명회 개최 안내,한국산업기술진흥원,2020-08-25,2020-08-26,2020-08-14
1642,창업,교육,창업 > 교육,대구광역시,[대구ㆍ경북] 2020년 제3차 예비창업자 역량강화 아카데미 안내,대구ㆍ경북지방중소벤처기업청,2020-08-20,2020-08-20,2020-08-14
1643,창업,교육,창업 > 교육,경기도,[경기] 안양시 2020년 청년창업 아카데미 안내,안양창조산업진흥원,2020-09-14,2020-11-05,2020-08-14
1644,경영,교육,경영 > 교육,서울특별시,[서울] 2021년 사업비 지원 마을기업(신규) 설립 전 교육 모집기간 연장 안내,서울특별시 사회적경제지원센터,2020-08-25,2020-10-06,2020-08-14
1645,경영,교육,경영 > 교육,서울특별시,[서울] 사회적경제기업 대상 온ㆍ오프라인 공공구매 기초교육 안내,서울특별시 사회적경제지원센터,2020-08-28,2020-08-28,2020-08-14
1646,인력,교육,인력 > 교육,제주특별자치도,[제주] 2020년 제1차 서귀포 협동조합 설립교육 실시 안내,제주사회적경제네트워크,2020-08-20,2020-08-20,2020-08-14
1647,경영,사업설명회,경영 > 사업설명회,충청남도,[충남] 2020년 사회적경제 혁신성장사업 비 R&D 지원사업 설명회 안내,충청남도,2020-08-19,2020-08-19,2020-08-14
1648,수출,교육,수출 > 교육,서울특별시,2020년 8월 무역보험아카데미 온라인 개최 및 컨설팅 서비스 안내,한국무역보험공사,2020-08-20,2020-08-26,2020-08-14
1649,인력,교육,인력 > 교육,경상남도,2020년 첨단의생명산업 인력양성 교육 실시(경남 고용안정 선제대응패키지 지원사업),김해산업진흥의생명융합재단,2020-08-14,2020-09-30,2020-08-14
1650,인력,교육,인력 > 교육,경상남도,2020년 4차 경남지역거점 인공지능 교육운영사업 인공지능 교육 실시,경남테크노파크,2020-09-19,2020-11-29,2020-08-14
1651,인력,교육,인력 > 교육,강원도,[강원] 2020년 춘천권 FTA원산지관리 실무과정 교육 안내,한국무역협회 강원지역본부,2020-08-26,2020-08-26,2020-08-14
1652,경영,교육,경영 > 교육,서울특별시,2020년 서울지원 HACCP 워킹그룹 운영 안내,한국식품안전관리인증원,2020-08-25,2020-08-27,2020-08-14
1653,기술,사업설명회,기술 > 사업설명회,서울특별시,한국인터넷진흥원 정보보호 R&D 성과물 기술이전 설명회,KISA 한국인터넷진흥원,2020-08-20,2020-08-21,2020-08-14
1654,인력,교육,인력 > 교육,전라남도,[전남] 퍼실리테이터 양성과정 교육 프로그램 안내,전남정보문화산업진흥원,2020-09-10,2020-11-05,2020-08-14
1655,창업,세미나/포럼,창업 > 세미나/포럼,대전광역시,[대전] 대전창조경제혁신센 제2회 파이낸셜데이 개최 안내,대전창조경제혁신센터,2020-08-25,2020-08-25,2020-08-13
1656,경영,교육,경영 > 교육,부산광역시,[부산] 진구 2020년 사회적경제기업 창업 아카데미 개최 안내,사회적기업연구원,2020-09-15,2020-09-17,2020-08-13
