연번,분야,행사유형,분야 및 행사유형,지역,제목,출처,행사시작일,행사종료일,등록일
1,수출,수출상담회,수출 > 수출상담회,서울특별시,2021년 산업재 전문무역상사-제조기업 매칭 온라인 화상상담회 실시,한국무역협회,2021-04-29,2021-04-29,2021-03-31
2,수출,세미나/포럼,수출 > 세미나/포럼,경기도,2021년 LA 총영사관 주재 e-Commerce 마케팅 및 온라인 세미나 실시,경기도청,2021-04-01,2021-04-01,2021-03-31
3,경영,세미나/포럼,경영 > 세미나/포럼,경기도,[경기] 2021년 중소기업 바우처 사전상담 신청 안내,경기벤처기업협회,2021-03-31,2021-04-30,2021-03-31
4,창업,사업설명회,창업 > 사업설명회,서울특별시,2021년 예비창업패키지 소셜벤처 분야 모집 설명회 실시,벤처기업협회,2021-04-05,2021-04-08,2021-03-31
5,창업,사업설명회,창업 > 사업설명회,제주특별자치도,[제주] 2021년 사회적기업 사업보고서 작성 및 자율경영공시 설명회 안내,제주사회적경제네트워크,2021-04-09,2021-04-09,2021-03-31
6,경영,사업설명회,경영 > 사업설명회,대구광역시,[대구] 2021년 초기창업패키지 사업설명회 안내,창조경제혁신센터,2021-04-02,2021-04-09,2021-03-31
7,경영,세미나/포럼,경영 > 세미나/포럼,경기도,[경기] 화성시 2021년 제154차 화성경제인포럼 안내,대한상공회의소,2021-04-13,2021-04-14,2021-03-30
8,경영,사업설명회,경영 > 사업설명회,경상남도,[경남] 2021년 (예비)사회적기업 인ㆍ지정 및 재정지원 설명회 안내,모두의경제 사회적협동조합,2021-04-07,2021-04-07,2021-03-30
9,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 EU 주요 통상정책과 대응방안 웨비나 안내,한국무역협회,2021-04-22,2021-04-22,2021-03-30
10,인력,교육,인력 > 교육,서울특별시,2021년 2분기 지식재산권 무료 초청 교육 실시,특허청,2021-06-25,2021-06-25,2021-03-30
11,수출,교육,수출 > 교육,전라북도,[전북] 2021년 1차 중점업종 한-중 FTA 활용 중국 진출전략 설명회 안내,전라북도수출지원사업관리시스템,2021-04-01,2021-04-01,2021-03-30
12,창업,세미나/포럼,창업 > 세미나/포럼,대전광역시,2021년 기술융합 소셜벤처를 위한 공공기술 연계지원 포럼 안내,창조경제혁신센터,2021-04-02,2021-04-02,2021-03-30
13,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 KOICA 리턴 프로그램 사업 설명회 안내,한국사회적기업진흥원,2021-03-29,2021-04-12,2021-03-30
14,인력,세미나/포럼,인력 > 세미나/포럼,대전광역시,한국생명공학연구원 2021년 플라스틱 환경이슈 포럼 안내,한국전기연구원,2021-04-15,2021-04-16,2021-03-29
15,경영,사업설명회,경영 > 사업설명회,부산광역시,2021년 한-아세안 XR 공동프로젝트 온라인 사업설명회 안내,부산정보산업진흥원,2021-03-30,2021-03-30,2021-03-29
16,수출,전시/박람회,수출 > 전시/박람회,전라남도,"[전남] 여수시 2021년 시즌 1, 2 농ㆍ수특산품 메가쇼 실시",여수시,2021-06-17,2021-11-21,2021-03-29
17,수출,세미나/포럼,수출 > 세미나/포럼,대구광역시,2021년 PV 마켓 인사이트(PV Market Insights) 컨퍼런스 안내,한국태약광산업협회,2021-04-28,2021-04-29,2021-03-29
18,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,2021년 제1회 스마트대한민국펀드 파트너스데이 실시,한국벤처투자,2021-04-08,2021-04-08,2021-03-29
19,경영,사업설명회,경영 > 사업설명회,대구광역시,"2021년 온라인 판로지원사업 온라인 설명회 참여, 홍보 요청 안내",한국경영기술지도사회,2021-04-01,2021-04-01,2021-03-29
20,수출,교육,수출 > 교육,경기도,[경기] 2021년 FTA활용 중국지역 수출전문가 양성과정 안내,경기도경제과학진흥원,2021-04-21,2021-04-29,2021-03-29
21,수출,교육,수출 > 교육,울산광역시,2021년 상반기 기초 FTA 활용 및 사후검증 실무 교육,한국무역협회 울산지역본부,2021-04-22,2021-04-22,2021-03-26
22,경영,전시/박람회,경영 > 전시/박람회,서울특별시,2021년 BIO KOREA International Convention 안내,한국생명공학연구원,2021-06-09,2021-06-11,2021-03-26
23,인력,교육,인력 > 교육,서울특별시,[서울] 2021년 서북권패션지원센터 CADㆍCAM기초 교육 실시,한국패션산업협회,2021-04-02,2021-06-14,2021-03-26
24,경영,교육,경영 > 교육,경상남도,[경남] 2021년 농업인 비대면 콘텐츠 활용 교육 실시,김해시청,2021-04-26,2021-04-27,2021-03-25
25,경영,교육,경영 > 교육,강원도,[강원] 2021년 원주권 아마존 및 쇼피 활용 온라인 B2C 해외마케팅 전략 교육 실시,한국무역협회,2021-04-14,2021-04-15,2021-03-25
26,기술,세미나/포럼,기술 > 세미나/포럼,강원도,2021년 가상현실 기반 디지털 치료제 컨퍼런스 안내,의료기기산업 종합정보시스템,2021-04-02,2021-04-02,2021-03-25
27,경영,교육,경영 > 교육,광주광역시,[광주] 북구 2021년 북구청 무역아카데미 실시,한국무역협회,2021-04-26,2021-05-13,2021-03-25
28,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 한-걸프협력회의(GCC) 비즈니스 포럼 안내,한국무역협회,2021-04-07,2021-04-07,2021-03-25
29,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 한-카자스탄 경제협력 세미나 안내,한국무역협회,2021-03-26,2021-03-26,2021-03-25
30,수출,세미나/포럼,수출 > 세미나/포럼,광주광역시,[광주ㆍ전남] 2021년 제10회 광주전남무역포럼 실시,전남테크노파크,2021-04-06,2021-04-06,2021-03-25
31,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,"2021년 ICT정책세미나(데이터 독점론, 그 실체를 분석한다) 안내",벤처기업협회,2021-03-30,2021-03-30,2021-03-25
32,창업,사업설명회,창업 > 사업설명회,충청북도,[충북] 2021년 사회적경제기업 생태계 고도화 지원사업 온라인 설명회 안내,충청북도기업진흥원,2021-03-26,2021-03-26,2021-03-25
33,기술,교육,기술 > 교육,대구광역시,[대구] 1차 빅데이터 분석 기본과정 안내,대구디지털산업진흥원,2021-03-29,2021-03-29,2021-03-24
34,인력,교육,인력 > 교육,대구광역시,2021년 4월 협동조합ㆍ마을기업 정기설명회 안내,커뮤니티와경제,2021-04-06,2021-04-20,2021-03-24
35,창업,사업설명회,창업 > 사업설명회,대구광역시,2021년 대구경북디자인센터  통합사업설명회 안내,다이텍연구원,2021-03-25,2021-03-25,2021-03-24
36,경영,사업설명회,경영 > 사업설명회,대전광역시,2021년 빅스퀘어유니온 빅데이터 프로모션 온라인 설명회 안내,한국사회적기업진흥원,2021-03-30,2021-03-30,2021-03-24
37,경영,워크샵,경영 > 워크샵,부산광역시,2021년 글로벌 신발디자이너 양성지원 워크샵 안내,신발정보지식포탈,2021-03-01,2021-10-31,2021-03-24
38,경영,사업설명회,경영 > 사업설명회,강원도,[강원] 2021년 산업통상자원부 지역정책 및 지원사업 순회 설명회 안내,강원도,2021-04-13,2021-04-13,2021-03-24
39,창업,교육,창업 > 교육,대전광역시,[대전] 2021년 IP(지식재산) 창업존 제13기 지식재산창업교육 실시,대전테크노파크,2021-04-12,2021-04-16,2021-03-23
40,인력,교육,인력 > 교육,경상남도,[경남] 2021년 사회적경제 기업 공공시장 진출 역량강화 교육 실시,모두의경제 사회적협동조합,2021-04-09,2021-04-09,2021-03-23
41,기술,세미나/포럼,기술 > 세미나/포럼,광주광역시,[광주] 광주연구개발특구 기살수업화 10년 성과 및 발전방안 포럼 안내,한국광산업진흥회,2021-03-25,2021-03-25,2021-03-23
42,인력,교육,인력 > 교육,전라북도,[전북] 빅데이터를 활용한 스마트팜 전문가 과정 교육 개최 안내,한국전자기술연구원,2021-04-06,2021-04-22,2021-03-23
43,인력,전시/박람회,인력 > 전시/박람회,대구광역시,2021년 대한민국 전기산업엑스포(대구) 개최 안내,부산테크노파크,2021-04-28,2021-04-30,2021-03-23
44,내수,세미나/포럼,내수 > 세미나/포럼,경기도,2021년 사회적경제기업 온라인 자금조달 설명회 안내,제주사회적경제네트워크,2021-03-30,2021-03-31,2021-03-23
45,경영,교육,경영 > 교육,경상북도,[전북] 2021년 제1차 SNS 온라인 마케팅 전략 교육 실시,전라북도경제통상진흥원,2021-04-01,2021-04-01,2021-03-23
46,경영,세미나/포럼,경영 > 세미나/포럼,충청북도,[충북] 베스티안재단 2021년 제1회 의료기기 혁신 세미나 안내,한국의료기기산업협회,2021-03-23,2021-03-23,2021-03-22
47,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2021년 벤처기업협회 크라우드펀딩 파워 웨비나 안내,벤처기업협회,2021-03-23,2021-03-30,2021-03-22
48,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2021년 제8회 벤처인사이트포럼(온오프라인 동시개최) 안내,벤처기업협회,2021-04-01,2021-04-01,2021-03-22
49,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2021년 K-사이버방역 추진전략 설명회 안내,한국방송통신전파진흥원,2021-03-24,2021-03-24,2021-03-22
50,수출,교육,수출 > 교육,인천광역시,[인천] 2021년 알기 쉬운 한ㆍ중 FTA 활용을 위한 원산지관리 실무교육 실시,인천상공회의소,2021-03-31,2021-03-31,2021-03-22
51,창업,교육,창업 > 교육,경기도,[경기] 안양시 2021년 사회적 경제 창업교육 실시,안양창조산업진흥원,2021-03-30,2021-06-29,2021-03-19
52,경영,교육,경영 > 교육,경기도,[경기] 오산시 2021년 (온라인_기계ㆍ전기ㆍ전자) FTA 활용 실무 교육,대한상공회의소,2021-04-23,2021-04-23,2021-03-19
53,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 해외 전자상거래 플랫폼 및 소셜미디어에서의 지재권 보호 웨비나 안내,KOTRA,2021-03-30,2021-04-01,2021-03-19
54,경영,사업설명회,경영 > 사업설명회,충청북도,2021년 충청권역 로컬크리에이터 활성화 지원사업 온라인 사업설명회 안내,충남창조경제혁신센터,2021-03-26,2021-03-26,2021-03-19
55,수출,교육,수출 > 교육,전라북도,[전북] 2021년 해외시장조사 및 바이어 화상 상담 심화과정 실시,한국무역협회,2021-04-01,2021-04-08,2021-03-19
56,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2021년 캐나다 식품 및 화장품 수출인증 세미나 안내,KOTRA,2021-04-13,2021-04-14,2021-03-19
57,인력,교육,인력 > 교육,대전광역시,"대전콘텐츠기업지원센터 3기, 4기 유니:콘 클럽(콘텐츠 창업 교육 프로그램) 참가 모집 공고",대전정보문화산업진흥원,2021-04-08,2021-04-29,2021-03-19
58,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2021년 SEOUL 사회공헌 혁신포럼 개최 안내,서울특별시,2021-03-25,2021-03-25,2021-03-18
59,경영,사업설명회,경영 > 사업설명회,대구광역시,2021년 대구디지털산업진흥원 지원사업 설명회 안내,대구디지털산업진흥원,2021-03-22,2021-03-22,2021-03-18
60,기술,세미나/포럼,기술 > 세미나/포럼,대구광역시,2021년 기술사업화 오픈 포럼(Creative-Scale Up Forum) 행사 실시,대구창조경제혁신센터,2021-03-23,2021-03-23,2021-03-18
61,인력,교육,인력 > 교육,부산광역시,[부산] 2021년 국가인적자원개발컨소시엄 신발산업인력양성 4월 교육 실시,부산경제진흥원,2021-04-05,2021-04-06,2021-03-18
62,기술,세미나/포럼,기술 > 세미나/포럼,전라북도,[전북] 2021년 비파괴 엑스선 3D 스캐닝 기술 확산 릴레이 웨비나 안내,전북테크노파크,2021-03-31,2021-05-26,2021-03-18
63,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 K-사이버방역 추진전략 지원사업 통합 온라인 설명회 안내,한국인터넷진흥원,2021-03-25,2021-03-25,2021-03-18
64,경영,교육,경영 > 교육,경상북도,[경북ㆍ강원ㆍ대구] 2021년 3기 인공지능(AI) 교육 실시,포항테크노파크,2021-04-10,2021-06-26,2021-03-18
65,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2021년 ARCASIA 젊은건축사(ACYA)위원회 웹포럼 안내,대한건축사협회,2021-03-20,2021-03-20,2021-03-18
66,경영,교육,경영 > 교육,강원도,[강원] 2021년 지역활력프로젝트사업(반도체 제조장비용 세라믹부품 생산기반 고도화) 리콜형 장비교육 실시,강릉과학산업진흥원,2021-04-16,2021-04-16,2021-03-18
67,경영,교육,경영 > 교육,전라북도,[전북] 2021년 (2DAY Class)AR 기본과정 전문인력 양성교육 실시,전주정보문화산업진흥원,2021-04-12,2021-04-13,2021-03-18
68,경영,사업설명회,경영 > 사업설명회,부산광역시,[부산] 중소기업중앙회 중소기업 주52시간제 도입지원 설명회 개최,한국전자산업협동조합,2021-03-30,2021-03-30,2021-03-17
69,내수,사업설명회,내수 > 사업설명회,충청북도,[충북] 청주시 나라장터 종합쇼핑몰 제품등록(MAS)제도 교육 및 컨설팅 지원사업 설명회 개최 안내,대한상공회의소,2021-03-26,2021-03-26,2021-03-17
70,수출,세미나/포럼,수출 > 세미나/포럼,충청북도,[충북] 2021년 동남아시아 진출을 위한 쇼피 플랫폼 활용 세미나 개최,충북지방중소벤처기업청,2021-03-30,2021-03-30,2021-03-17
71,경영,세미나/포럼,경영 > 세미나/포럼,대구광역시,2021년 (예비)사회적기업 상시설명회 개최 및 신청 안내,커뮤니티와 경제,2021-02-10,2021-12-15,2021-03-17
72,인력,교육,인력 > 교육,서울특별시,NECA 의료기술평가 연구방법론 온라인 교육 안내,의료기기산업 종합정보시스템,2021-03-02,2021-12-17,2021-03-17
73,경영,사업설명회,경영 > 사업설명회,경기도,2021년 K-City Network 온라인 사업설명회 안내,국토교통과학기술진흥원,2021-03-22,2021-03-22,2021-03-17
74,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2021년 제1차 에너지혁신기업 연대ㆍ협력 포럼 실시,한국에너지기술평가원,2021-03-19,2021-03-19,2021-03-17
75,경영,교육,경영 > 교육,서울특별시,2021년 핀테크 프로젝트 개발과정 교육 실시,한국인터넷진흥원,2021-04-26,2021-04-30,2021-03-17
76,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,중소상공인희망재단 2021년 상반기 소상공인 허브 품평회 안내,한국사회적기업진흥원,2021-04-15,2021-04-15,2021-03-17
77,경영,교육,경영 > 교육,경기도,2021년  3D프린팅 전문가 교육 실시,경기테크노파크,2021-04-13,2021-10-14,2021-03-16
78,경영,교육,경영 > 교육,서울특별시,2021년 클라우드 SaaS 사업자 대상 클라우드 보안인증(SaaS 간편등급) 교육 실시,한국인터넷진흥원,2021-04-26,2021-09-03,2021-03-16
79,경영,세미나/포럼,경영 > 세미나/포럼,경상남도,[경남] 2021년 김해시 제160차 온라인 김해경제포럼 개최 안내,김해의생명산업진흥원,2021-03-19,2021-03-19,2021-03-16
80,경영,사업설명회,경영 > 사업설명회,경기도,[경기] 2021년 화성시 일자리지원 온라인 사업설명회 안내,대한상공회의소,2021-03-26,2021-03-26,2021-03-16
81,경영,사업설명회,경영 > 사업설명회,충청북도,[충북] 2021년 데이터바우처 지원사업 충북설명회 실시,충청북도,2021-03-24,2021-03-24,2021-03-16
82,경영,교육,경영 > 교육,경기도,[경기] 2021년 창업허브 창업 실전 교육 실시,경기도경제과학진흥원,2021-04-05,2021-05-07,2021-03-16
83,수출,기타,수출 > 기타,서울특별시,2021년 아프리카 창업아이디어 대회 안내,한ㆍ아프리카재단,2021-05-25,2021-12-31,2021-03-16
84,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2021년 제4회 탄소중립 테크포럼 안내,한국에너지기술평가원,2021-03-18,2021-03-18,2021-03-15
85,기술,사업설명회,기술 > 사업설명회,대구광역시,[대구] 2021년 국방기술 민수사업화 기술이전 설명회 안내,대구상공회의소,2021-03-25,2021-03-25,2021-03-15
86,경영,사업설명회,경영 > 사업설명회,경기도,2021년 한국디자인진흥원 사회적기업 소셜디자인데이 실시,한국디자인진흥원,2021-03-26,2021-03-26,2021-03-15
87,창업,사업설명회,창업 > 사업설명회,광주광역시,[광주] 2021년 데이터바우처 지원사업 광주설명회 안내,광주광역시청,2021-03-25,2021-03-25,2021-03-15
88,경영,교육,경영 > 교육,경상남도,[경남] 2021년 여성농업인 CEO 교육 실시,진주시청,2021-04-01,2021-12-31,2021-03-15
89,인력,교육,인력 > 교육,경상북도,[경북] 2021년 마을기업 입문교육 개최 안내,경주시청,2021-04-06,2021-04-07,2021-03-15
90,경영,세미나/포럼,경영 > 세미나/포럼,인천광역시,K-바이오 랩센트럴 구축 유치를 위한 국회 토론회 개최 안내,인천광역시,2021-03-16,2021-03-16,2021-03-15
91,경영,교육,경영 > 교육,경상남도,2021년 (사회적)협동조합 슬기로운 경영공시 작성 컨설팅 개최 안내,모두의경제 사회적협동조합,2021-03-24,2021-03-31,2021-03-15
92,경영,교육,경영 > 교육,경기도,2021년 정부지원사업 활용교육 실시,대한상공회의소,2021-04-06,2021-04-06,2021-03-15
93,인력,교육,인력 > 교육,전라북도,드론교육 고급과정 1DAY Class 1~2기수 교육 개최 안내,전주정보문화산업진흥원,2021-04-03,2021-04-04,2021-03-15
94,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 비대면 마케팅 성공 사례 및 코로나 시대 수출전략 세미나 안내,한국무역협회,2021-03-30,2021-03-31,2021-03-15
95,기술,세미나/포럼,기술 > 세미나/포럼,서울특별시,2021년 제8회 헬스케어 미래포럼 보건의료 데이터 및 인공지능 활용ㆍ혁신 안내,한국보건산업진흥원,2021-03-26,2021-03-26,2021-03-15
96,수출,세미나/포럼,수출 > 세미나/포럼,서울특별시,2021년 플랫폼을 활용한 중국 시장 진출 및 마케팅 전략 세미나 안내,한국무역협회,2021-03-24,2021-03-24,2021-03-15
97,수출,세미나/포럼,수출 > 세미나/포럼,경기도,"[경기] 2021년 웹세미나(언택트마케팅, 알리바바닷컴으로 극복하라!) 실시",경기도경제과학진흥원,2021-03-25,2021-03-25,2021-03-12
98,경영,교육,경영 > 교육,울산광역시,[울산] 2021년 상반기 FTA 단기종합실무 중급반 교육 실시,한국무역협회 울산지역본부,2021-04-08,2021-04-09,2021-03-12
99,경영,교육,경영 > 교육,인천광역시,[인천ㆍ서울ㆍ경기] 2021년 인천창조경제혁신센터 저작권서비스센터 저작권 교육 실시,창조경제혁신센터,2021-03-15,2021-12-31,2021-03-12
100,경영,사업설명회,경영 > 사업설명회,서울특별시,KOTRA 2021년 의료기기 GP 온라인 사업설명회 안내,춘천바이오산업진흥원,2021-03-18,2021-03-18,2021-03-12
101,수출,교육,수출 > 교육,경기도,[경기] 한-EU FTA 활용 유럽 지역 전문가 양성과정 개최,경기중소기업종합정보시스템,2021-04-06,2021-04-15,2021-03-12
102,경영,사업설명회,경영 > 사업설명회,전라북도,[전북] 조달청 다수공급자계약(MAS) 설명회 및 입찰정보 실무교육 실시,전라북도경제통상진흥원,2021-03-30,2021-03-31,2021-03-12
103,인력,교육,인력 > 교육,부산광역시,[부산] 2021년 디지털마케팅 실무 교육 안내(소셜미디어ㆍ블로그 마케팅),부산신용보증재단 소상공인희망센터,2021-04-12,2021-05-23,2021-03-12
104,인력,교육,인력 > 교육,부산광역시,[부산] 소상공인 경영개선 및 예비창업자 교육 안내,부산신용보증재단 소상공인희망센터,2021-03-29,2021-12-02,2021-03-12
105,수출,세미나/포럼,수출 > 세미나/포럼,경기도,2021년 바이엘 오픈이노베이션 챌린지 안내,한국바이오협회,2021-03-12,2021-04-03,2021-03-12
106,경영,교육,경영 > 교육,울산광역시,[울산] 2021년 아는만큼 앞서가는 FTA 활용전략 사이버강좌 실시,한국무역협회,2021-03-09,2021-06-30,2021-03-11
107,기술,세미나/포럼,기술 > 세미나/포럼,충청남도,2021년 민군협력 소요발전 세미나 행사시 新기술 및 무기체계 소개 안내,방위사업청,2021-05-12,2021-05-12,2021-03-11
108,인력,전시/박람회,인력 > 전시/박람회,경상남도,2021년 1차 KOSME 내일愛 온택트 일자리 박람회(스마트공장) 안내,중소벤처기업진흥공단,2021-03-29,2021-04-16,2021-03-11
109,경영,사업설명회,경영 > 사업설명회,울산광역시,2021년 에너지신산업 기반구축사업 설명회 개최 안내,한국에너지공단,2021-03-19,2021-03-19,2021-03-11
110,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 전통시장 온라인 장보기 및 배송서비스 지원사업 사업설명회 안내,서울특별시,2021-03-05,2021-12-31,2021-03-11
111,경영,세미나/포럼,경영 > 세미나/포럼,경상남도,[경남] 2021년 3월 3주차 이노카페 기업애로 온라인세미나 및 컨설팅 안내,경남테크노파크,2021-03-15,2021-03-19,2021-03-11
112,수출,교육,수출 > 교육,경기도,[경기] 2021년 1차 수출역량 강화교육 교육 안내,경기도물산업지원센터,2021-04-13,2021-04-22,2021-03-11
113,창업,교육,창업 > 교육,광주광역시,[광주] 2021년 광주저작권서비스센터 운영 저작권 교육 안내,광주정보문화산업진흥원,2021-03-01,2021-12-31,2021-03-11
114,창업,세미나/포럼,창업 > 세미나/포럼,서울특별시,서대문구 사회적경제마을자치센터 2021년 서대문 스타트업 비전 포럼 개최 안내,한국사회적기업진흥원,2021-03-18,2021-03-18,2021-03-11
115,인력,교육,인력 > 교육,서울특별시,2021년 4월 국가인적자원개발 컨소시엄 국내외 환경규제대응 교육 안내,국제환경규제기업지원센터,2021-04-01,2021-04-29,2021-03-11
116,인력,교육,인력 > 교육,제주특별자치도,[제주] 2021년 현장 맞춤형 데이터 분석 활용과정 교육 실시,제주테크노파크,2021-04-13,2021-05-25,2021-03-11
117,경영,세미나/포럼,경영 > 세미나/포럼,세종특별자치시,2021년 민군협력 소요발전 세미나 행사(新기술 및 무기체계 소개) 참가업체 모집 안내,국방기술품질원,2021-05-12,2021-05-12,2021-03-11
118,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,중소기업이 만드는 탄소중립 사회 웨비나 개최 안내,중소벤처기업진흥공단 호남연수원,2021-03-16,2021-03-16,2021-03-11
119,경영,교육,경영 > 교육,충청남도,[충남] 2021년 글로벌 마케팅 수출 역량 강화 교육 실시,충남테크노파크,2021-03-17,2021-03-24,2021-03-11
120,경영,세미나/포럼,경영 > 세미나/포럼,부산광역시,[부산] 2021년 제1회 부산광역시 사회적경제 온라인 설명회 안내,한국사회적기업진흥원,2021-03-22,2021-03-22,2021-03-10
121,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 AI 기반 중량화물이동체 물류플랫폼 실증 사업설명회 안내,정보통신산업진흥원,2021-03-12,2021-03-12,2021-03-10
122,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 혁신제품 지정 설명회 개최 안내,한국환경산업기술원,2021-03-15,2021-03-15,2021-03-10
123,인력,교육,인력 > 교육,서울특별시,2021년 유튜브 크리에이터 양성 PROJECT 교육 실시,낙성벤처창업센터,2021-03-30,2021-04-29,2021-03-10
124,경영,사업설명회,경영 > 사업설명회,경상북도,[경북] 2021년 데이터바우처 지원사업 사업설명회 안내,경상북도,2021-03-16,2021-03-16,2021-03-09
125,경영,교육,경영 > 교육,경기도,2021년 K-ICT 빅데이터센터 상반기 교육 실시,K-ICT 빅데이터센터,2021-03-22,2021-06-30,2021-03-09
126,경영,세미나/포럼,경영 > 세미나/포럼,대구광역시,[대구] 2021년 제20회 대구국가혁신융복합단지 혁신플러스 세미나(온라인) 개최 안내,대구테크노파크,2021-03-12,2021-03-12,2021-03-09
127,경영,교육,경영 > 교육,경기도,2021년 중소기업 CEO가 알아야 할 기업회계와 절세전략 교육 실시,대한상공회의소,2021-03-30,2021-03-30,2021-03-09
128,수출,교육,수출 > 교육,경기도,2021년 무역실무 및 해외마케팅 교육 실시,대한상공회의소,2021-03-25,2021-03-25,2021-03-09
129,인력,세미나/포럼,인력 > 세미나/포럼,서울특별시,2021년 디지털 헬스케어 아카데미 온라인 개최 안내,오송첨단의료산업진흥재단,2021-04-01,2021-06-17,2021-03-08
130,인력,교육,인력 > 교육,경기도,[경기] 2021년 뿌리산업 전문인력 양성교육 실시,경기테크노파크,2021-03-11,2021-03-24,2021-03-08
131,인력,교육,인력 > 교육,대전광역시,[대전] 국가인적컨소시엄사업 3월 재직자 무료교육 안내,대전정보문화산업진흥원,2021-03-16,2021-04-02,2021-03-08
132,수출,교육,수출 > 교육,인천광역시,품목분류와 FTA 원산지관리 실무교육 온라인 개최 안내,인천상공회의소,2021-03-17,2021-03-17,2021-03-08
133,수출,수출상담회,수출 > 수출상담회,세종특별자치시,중국(구이저우)-한국 우수기업 제품 1:1 온라인 상담회 개최 안내,세종상공회의소,2021-03-22,2021-03-31,2021-03-08
134,인력,교육,인력 > 교육,울산광역시,[울산] 2021년 21기 마을기업 아카데미 안내,울산경제진흥원,2021-03-26,2021-03-26,2021-03-08
135,수출,교육,수출 > 교육,경기도,[경기] 2021년 1차 수출역량강화교육 개최 안내,경기도수출기업협회,2021-04-13,2021-04-22,2021-03-08
136,기술,세미나/포럼,기술 > 세미나/포럼,경기도,[경기] 성남시 차세대 ICT 연구센터 성남-KAIST 리더십 포럼 개최 안내,성남산업진흥원,2021-04-16,2021-11-19,2021-03-05
137,경영,세미나/포럼,경영 > 세미나/포럼,부산광역시,COVID19 전후 한국 벤처붐의 평가와 미래 과제 온라인 세미나 개최 안내,벤처기업협회,2021-03-09,2021-03-09,2021-03-05
138,인력,교육,인력 > 교육,서울특별시,2021년 상반기 노사상생플러스교육 안내,노사발전재단,2021-03-01,2021-12-31,2021-03-05
139,경영,사업설명회,경영 > 사업설명회,서울특별시,2021년 사회적경제 주요사업 온라인 설명회 안내,한국사회적기업진흥원,2021-03-05,2021-12-31,2021-03-05
140,경영,교육,경영 > 교육,충청북도,2021년 KIMES 연계 의료기기산업 종합지원센터 찾아가는 상담 안내,한국보건산업진흥원,2021-03-18,2021-03-21,2021-03-05
141,경영,기타,경영 > 기타,서울특별시,2021년 근로복지넷 EAP 서비스 안내,근로복지넷,2021-03-05,2021-12-31,2021-03-05
142,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2021년 제2회 탄소중립 테크포럼 안내,한국에너지기술평가원,2021-03-05,2021-03-05,2021-03-04
143,창업,교육,창업 > 교육,울산광역시,[울산] 2021년 1차(20기) 지식재산 창업교육 실시,울산테크노파크,2021-03-22,2021-03-26,2021-03-04
144,창업,교육,창업 > 교육,서울특별시,2021년 글로벌 무역업 창업 첫걸음 과정 교육 실시,한국무역협회,2021-03-20,2021-05-01,2021-03-04
145,인력,세미나/포럼,인력 > 세미나/포럼,인천광역시,서비스디자인 세미나(고객의 경험을 디자인하라) 온라인 개최 안내,인천디자인지원센터,2021-03-12,2021-03-12,2021-03-04
146,경영,세미나/포럼,경영 > 세미나/포럼,서울특별시,2021년 발전기자재 국산화를 위한 현장공개 설명회 개최 안내,한국기계산업진흥회,2021-03-24,2021-03-24,2021-03-04
147,수출,교육,수출 > 교육,서울특별시,2021년 성공적인 해외 시장 진출을 위한 기초 다지기(알리바바 티몰글로벌편) 교육 실시,서울특별시 사회적경제지원센터,2021-03-31,2021-03-31,2021-03-04
148,수출,교육,수출 > 교육,서울특별시,2021년 성공적인 해외 시장 진출을 위한 기초 다지기(아마존편) 교육 실시,서울특별시 사회적경제지원센터,2021-03-30,2021-03-30,2021-03-04
149,수출,교육,수출 > 교육,서울특별시,2021년 성공적인 해외 시장 진출을 위한 기초 다지기(쇼피편) 교육 실시,서울특별시 사회적경제지원센터,2021-03-24,2021-03-24,2021-03-04
150,경영,교육,경영 > 교육,부산광역시,[부산] 2021년 1차 무역실무 단기속성 기초 교육 실시,한국무역협회,2021-03-22,2021-03-26,2021-03-04
151,경영,교육,경영 > 교육,충청남도,[충남] 2021년도 옥외광고사업 종사자 교육 실시,아산시청,2021-07-22,2021-08-26,2021-03-04
